date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:15	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	https://bnned.github.io/robots.txt		(from )
23:25:15	10545/10545	---M-Z	200	added ('OK')	text/html	etag:W/%225b998a04-2931%22	https://bnned.github.io/CSGOClicker/	C:/My%20Web%20Sites/oldcsclicker/bnned.github.io/CSGOClicker/index.html	(from )
23:25:15	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/oldcsclicker/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://bnned.github.io/CSGOClicker/)
23:25:15	22559/22559	---M-Z	200	added ('OK')	text/css	etag:W/%225b998a04-581f%22	https://bnned.github.io/CSGOClicker/css/stylesheet.css	C:/My%20Web%20Sites/oldcsclicker/bnned.github.io/CSGOClicker/css/stylesheet.css	(from https://bnned.github.io/CSGOClicker/)
23:25:16	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/My%20Web%20Sites/oldcsclicker/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from https://bnned.github.io/CSGOClicker/)
23:25:16	107336/107336	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b998a04-1a348%22	https://bnned.github.io/CSGOClicker/js/script.js	C:/My%20Web%20Sites/oldcsclicker/bnned.github.io/CSGOClicker/js/script.js	(from https://bnned.github.io/CSGOClicker/)
23:25:16	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/oldcsclicker/www.google-analytics.com/analytics.js	(from https://bnned.github.io/CSGOClicker/)
23:25:17	2938/2938	---M--	200	added ('OK')	image/png	etag:%22f7abcdceb1afbe8ff07fb5405777ea3f%22	https://i.imgur.com/zoKOaEY.png	C:/My%20Web%20Sites/oldcsclicker/i.imgur.com/zoKOaEY.png	(from https://bnned.github.io/CSGOClicker/css/stylesheet.css)
23:25:17	105861/105861	---M--	200	added ('OK')	image/png	etag:%225b998a04-19d85%22	https://bnned.github.io/CSGOClicker/images/sunburst.png	C:/My%20Web%20Sites/oldcsclicker/bnned.github.io/CSGOClicker/images/sunburst.png	(from https://bnned.github.io/CSGOClicker/css/stylesheet.css)
23:25:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Oct%202020%2003:24:59%20GMT	http://i.imgur.com/vakyLA5.png	C:/My%20Web%20Sites/oldcsclicker/i.imgur.com/vakyLA5.7.delayed	(from https://bnned.github.io/CSGOClicker/css/stylesheet.css)
23:25:19	607334/607334	---M--	200	added ('OK')	image/png	etag:%2276bd8495cbd4f464d7bb44ce37c9b2bd%22	https://i.imgur.com/vakyLA5.png	C:/My%20Web%20Sites/oldcsclicker/i.imgur.com/vakyLA5.png	(from https://bnned.github.io/CSGOClicker/css/stylesheet.css)
23:25:19	2212/2212	---M--	200	added ('OK')	image/png	etag:%22f742fa56c8d2d1704aeb72dbcac144bf%22	https://i.imgur.com/Pw82Pa6.png	C:/My%20Web%20Sites/oldcsclicker/i.imgur.com/Pw82Pa6.png	(from https://bnned.github.io/CSGOClicker/css/stylesheet.css)
